151,Barcelona,41.3825,2.1769,es,0,4800000,2024-01-16 16:51:24
152,Changsha,28.1987,112.9709,cn,0,4766296,2024-01-16 16:51:24
153,Chenzhou,25.7989,113.0267,cn,0,4744500,2024-01-16 16:51:24
154,Anqing,30.5000,117.0333,cn,0,4723000,2024-01-16 16:51:24
155,Jiangmen,22.5833,113.0833,cn,0,4630300,2024-01-16 16:51:24
156,Xinpu,34.5906,119.1801,cn,0,4599360,2024-01-16 16:51:24
157,Yibin,28.7596,104.6400,cn,0,4588804,2024-01-16 16:51:24
158,Yangzhou,32.3912,119.4363,cn,0,4559797,2024-01-16 16:51:24
159,Melbourne,-37.8142,144.9631,au,0,4529500,2024-01-16 16:51:24
160,Berlin,52.5200,13.4050,de,1,4473101,2024-01-16 16:51:24
161,Hengshui,37.7348,115.6860,cn,0,4472000,2024-01-16 16:51:24
162,Timbio,2.3445,-76.6839,co,0,4444444,2024-01-16 16:51:24
163,Kunming,25.0433,102.7061,cn,0,4422686,2024-01-16 16:51:24
164,Yiyang,28.5833,112.3333,cn,0,4413800,2024-01-16 16:51:24
165,Guigang,23.0961,109.6092,cn,0,4409200,2024-01-16 16:51:24
166,Changchun,43.9000,125.2000,cn,0,4408154,2024-01-16 16:51:24
167,Jiangguanchi,34.0244,113.8201,cn,0,4379998,2024-01-16 16:51:24
168,!casablanca,33.5333,-7.5833,ma,0,4370000,2024-01-16 16:51:24
169,Meizhou,24.2998,116.1191,cn,0,4378800,2024-01-16 16:51:24
170,Zhangjiakou,40.8108,114.8811,cn,0,4345485,2024-01-16 16:51:24
171,Chifeng,42.2663,118.9223,cn,0,4341245,2024-01-16 16:51:24
172,Urumqi,43.8225,87.6125,cn,0,4335017,2024-01-16 16:51:24
173,Suzhou,31.3000,120.6194,cn,0,4330000,2024-01-16 16:51:24
174,Izmir,38.4200,27.1400,tr,0,4320519,2024-01-16 16:51:24
175,Linfen,36.0812,111.5087,cn,0,4316610,2024-01-16 16:51:24
176,Shantou,23.3735,116.6941,cn,0,4312192,2024-01-16 16:51:24
177,Kabul,34.5253,69.1783,af,1,4273156,2024-01-16 16:51:24
178,Mogadishu,2.0392,45.3419,so,1,4249083,2024-01-16 16:51:24
179,Luzhou,28.8918,105.4409,cn,0,4218427,2024-01-16 16:51:24
180,Hefei,31.8639,117.2808,cn,0,4216940,2024-01-16 16:51:24
181,Boston,42.3188,-71.0852,us,0,4208580,2024-01-16 16:51:24
182,Liuzhou,24.3264,109.4281,cn,0,4157934,2024-01-16 16:51:24
183,Zhaoqing,23.0500,112.4667,cn,0,4151700,2024-01-16 16:51:24
184,Xiaoxita,30.7083,111.2803,cn,0,4137900,2024-01-16 16:51:24
185,Shijiazhuang,38.0422,114.5086,cn,0,4098243,2024-01-16 16:51:24
186,Ningbo,29.8750,121.5492,cn,0,4087523,2024-01-16 16:51:24
187,Fuzhou,27.9814,116.3577,cn,0,4047200,2024-01-16 16:51:24
188,Phoenix,33.5722,-112.0892,us,0,4047095,2024-01-16 16:51:24
189,Zhuzhou,27.8407,113.1469,cn,0,4020800,2024-01-16 16:51:24
190,Amman,31.9497,35.9328,jo,1,4007526,2024-01-16 16:51:24
191,Chuzhou,32.3062,118.3115,cn,0,3987054,2024-01-16 16:51:24
192,Jeddah,21.5433,39.1728,sa,0,3976000,2024-01-16 16:51:24
193,Qingyuan,23.6842,113.0507,cn,0,3969473,2024-01-16 16:51:24
194,Loudi,27.7378,111.9974,cn,0,3931800,2024-01-16 16:51:24
195,Binzhou,37.3806,118.0125,cn,0,3928568,2024-01-16 16:51:24
196,Deyang,31.1289,104.3950,cn,0,3877000,2024-01-16 16:51:24
197,Taiyuan,37.8733,112.5425,cn,0,3875053,2024-01-16 16:51:24
